"","name","pages","term"
"116","Abercrombie & Fitch",1,"Abercrombie%20%26%20Fitch"
"6034","Pendleton",1,"Pendleton"
"4216","Kangol",1,"Kangol"
"4675","Logo 7",1,"Logo%207"
"2829","Forever 21",1,"Forever%2021"
"691","Authentic",1,"Authentic"
"5566","Nirvana",1,"Nirvana"
"99","925 Silver",1,"925%20Silver"
"7933","Toyo Enterprises",1,"Toyo%20Enterprises"
"7754","The Simpsons",1,"The%20Simpsons"
"8049","Tyler The Creator",1,"Tyler%20The%20Creator"
"1761","Comics",1,"Comics"
"3677","Human Made",1,"Human%20Made"
"4236","Karl Kani",1,"Karl%20Kani"
"3432","Hat",1,"Hat"
"4225","Kapital Kountry",1,"Kapital%20Kountry"
"4188","Jw",1,"Jw"
"4645","Liquid Blue",1,"Liquid%20Blue"
"2959","Fubu",1,"Fubu"
"4956","Marithe Francois Girbaud",1,"Marithe%20Francois%20Girbaud"
"5802","Opening Ceremony",1,"Opening%20Ceremony"
"6157","Places + Faces",1,"Places%20+%20Faces"
"1086","Bob Marley",1,"Bob%20Marley"
"7906","Topman",1,"Topman"
"3623","Honda",1,"Honda"
"5956","Paris",1,"Paris"
"8312","Vineyard Vines",1,"Vineyard%20Vines"
"1055","Blue Blue Japan",1,"Blue%20Blue%20Japan"
"701","Avant Garde",1,"Avant%20Garde"
"6279","Pro Player",1,"Pro%20Player"
"8024","Tultex",1,"Tultex"
"4235","Karl Helmut",1,"Karl%20Helmut"
"7491","Superrradical",1,"Superrradical"
"1129","Boris Bidjan Saberi",1,"Boris%20Bidjan%20Saberi"
"5429","Napapijri",1,"Napapijri"
"2105","Delta",1,"Delta"
"1106","Bomber Jacket",1,"Bomber%20Jacket"
"2305","Dover Street Market",1,"Dover%20Street%20Market"
"1556","Chase Authentics",1,"Chase%20Authentics"
"3593","Hollister",1,"Hollister"
"5416","Naked & Famous",1,"Naked%20%26%20Famous"
"112","Aape",1,"Aape"
"3306","Gstar",1,"Gstar"
"4460","L.A. Lakers",1,"L.A.%20Lakers"
"6130","Pierre Cardin",1,"Pierre%20Cardin"
"6292","Public Enemy",1,"Public%20Enemy"
"1346","Cabane De Zucca",1,"Cabane%20De%20Zucca"
"7884","Tommy Bahama",1,"Tommy%20Bahama"
"1107","Bomber Style Jacket",1,"Bomber%20Style%20Jacket"
"4075","John Bull",1,"John%20Bull"
"627","Asos",1,"Asos"
"5214","Missoni",1,"Missoni"
"6104","Philipp Plein",1,"Philipp%20Plein"
"1149","Bottega Veneta",1,"Bottega%20Veneta"
"12","10 Deep",1,"10%20Deep"
"5339","M+Rc Noir",1,"M+Rc%20Noir"
"6035","Penfield",1,"Penfield"
"229","Aime Leon Dore",1,"Aime%20Leon%20Dore"
"5077","Medicom Bearbrick",1,"Medicom%20Bearbrick"
"8357","Volcom",1,"Volcom"
"1475","Casual Jacket",1,"Casual%20Jacket"
"2332","Dr. Martens",1,"Dr.%20Martens"
"59","424 On Fairfax",1,"424%20On%20Fairfax"
"1733","Cole Haan",1,"Cole%20Haan"
"719","AWGE",1,"AWGE"
"4809","Lyle & Scott",1,"Lyle%20%26%20Scott"
"7458","Sukajan T Shirts",1,"Sukajan%20T%20Shirts"
"8173","Us Air Force",1,"Us%20Air%20Force"
"7450","Sugar Cane",1,"Sugar%20Cane"
"8577","Worldwide Youth",1,"Worldwide%20Youth"
"3385","Hanes Made In Usa",1,"Hanes%20Made%20In%20Usa"
"769","Bally",1,"Bally"
"7483","Superdry",1,"Superdry"
"382","American College",1,"American%20College"
"3010","Gant",1,"Gant"
"2203","Dime",1,"Dime"
"2624","Express",1,"Express"
"8185","U.S. Polo Assn.",1,"U.S.%20Polo%20Assn."
"142","Acronym",1,"Acronym"
"2125","Denim Jacket",1,"Denim%20Jacket"
"3722","Iceberg",1,"Iceberg"
"936","Beverly Hills Polo Club",1,"Beverly%20Hills%20Polo%20Club"
"5717","Odd Future",1,"Odd%20Future"
"3416","Harris Tweed",1,"Harris%20Tweed"
"6511","Revenge X Storm",1,"Revenge%20X%20Storm"
"2988","Futura",1,"Futura"
"4976","Marni",1,"Marni"
"2874","Fox Racing",1,"Fox%20Racing"
"1540","Chaps",1,"Chaps"
"6815","Salem Sportswear",1,"Salem%20Sportswear"
"4471","Lancel",1,"Lancel"
"5163","Midnight Studios",1,"Midnight%20Studios"
"2428","Ed Hardy",1,"Ed%20Hardy"
"8531","Wings + Horns",1,"Wings%20+%20Horns"
"6923","Scotch & Soda",1,"Scotch%20%26%20Soda"
"4585","Levi's Made & Crafted",1,"Levi's%20Made%20%26%20Crafted"
"6185","Polartec",1,"Polartec"
"942","Bianca Chandon",1,"Bianca%20Chandon"
"1864","Courreges Homme",1,"Courreges%20Homme"
"5226","Mizuno",1,"Mizuno"
"7771","The Weeknd",1,"The%20Weeknd"
